a	AW1
arakabi	AW1 R AW1 K AW1 P IY1
arakangge	AW1 R AW1 K AW1 NG NG AH1
arake	AW1 R AW1 K AH1
araki	AW1 R AW1 K IY1
arakini	AW1 R AW1 K IY1 N IY1
aralai	AW1 R AW1 L AW1 JH
aramb	AW1 R AW1 M P
arambi	AW1 R AW1 M P IY1
arambihe	AW1 R AW1 M P IY1 HH AH1
arambihede	AW1 R AW1 M P IY1 HH AH1 T AH1
arambikai	AW1 R AW1 M P IY1 K AW1 JH
arame	AW1 R AW1 M AH1
aramen	AW1 R AW1 M AH1 N
aramji	AW1 R AW1 M JH IY1
aran	AW1 R AW1 N
arana	AW1 R AW1 N AW1
aranaha	AW1 R AW1 N AW1 HH AW1
aranaki	AW1 R AW1 N AW1 K IY1
aranara	AW1 R AW1 N AW1 R AW1
aranduhai	AW1 R AW1 N T UW1 HH AW1 JH
arandumbi	AW1 R AW1 N T UW1 M P IY1
aranjime	AW1 R AW1 N JH IY1 M AH1
aranju	AW1 R AW1 N JH UW1
aranqi	AW1 R AW1 N K IY1
arantai	AW1 R AW1 N T AW1 JH
arantu	AW1 R AW1 N T UW1
aranumbi	AW1 R AW1 N UW1 M P IY1
araqaki	AW1 R AW1 CH AW1 K IY1
araqi	AW1 R AW1 K IY1
araqibe	AW1 R AW1 K IY1 P AH1
arara	AW1 R AW1 R AW1
ararade	AW1 R AW1 R AW1 T AH1
ararahv	AW1 R AW1 R AW1 HH AO1
ararakv	AW1 R AW1 R AW1 K AO1
ararakvn	AW1 R AW1 R AW1 K AO1 N
ararakvngge	AW1 R AW1 R AW1 K AO1 NG NG AH1
ararakvqi	AW1 R AW1 R AW1 K AO1 K IY1
ararangge	AW1 R AW1 R AW1 NG NG AH1
araraqi	AW1 R AW1 R AW1 K IY1
ararau	AW1 R AW1 R AW1 W
arare	AW1 R AW1 R AH1
ararengge	AW1 R AW1 R AH1 NG NG AH1
ararkv	AW1 R AW1 R K AO1
arasan	AW1 R AW1 S AW1 N
arasi	AW1 R AW1 S IY1
arati	AW1 R AW1 T IY1
araxan	AW1 R AW1 SH AW1 N
arbai	AW1 R P AW1 JH
arbin	AW1 R P IY1 N
arbithv	AW1 R P IY1 T HH AO1
arboxambihe	AW1 R P OW1 SH AW1 M P IY1 HH AH1
arbun	AW1 R P UW1 N
arbungga	AW1 R P UW1 NG N AW1
arbuni	AW1 R P UW1 N IY1
arbunv	AW1 R P UW1 N AO1
arbusara	AW1 R P UW1 S AW1 R AW1
arbutai	AW1 R P UW1 T AW1 JH
arbuxafi	AW1 R P UW1 SH AW1 F IY1
arbuxaha	AW1 R P UW1 SH AW1 HH AW1
arbuxambi	AW1 R P UW1 SH AW1 M P IY1
arbuxame	AW1 R P UW1 SH AW1 M AH1
arbuxaqi	AW1 R P UW1 SH AW1 K IY1
arbuxara	AW1 R P UW1 SH AW1 R AW1
arbuxarangge	AW1 R P UW1 SH AW1 R AW1 NG NG AH1
arbuxra	AW1 R P UW1 SH R AW1
arbvxara	AW1 R P AO1 SH AW1 R AW1
arda	AW1 R T AW1
ardai	AW1 R T AW1 JH
ardashvn	AW1 R T AW1 S HH AO1 N
ardemu	AW1 R T AH1 M UW1
are	AW1 R AH1
areme	AW1 R AH1 M AH1
arera	AW1 R AH1 R AW1
arfa	AW1 R F AW1
arfi	AW1 R F IY1
arfukv	AW1 R F UW1 K AO1
arga	AW1 R K AW1
argabuha	AW1 R K AW1 P UW1 HH AW1
argabumbi	AW1 R K AW1 P UW1 M P IY1
argadabuha	AW1 R K AW1 T AW1 P UW1 HH AW1
argadabumbi	AW1 R K AW1 T AW1 P UW1 M P IY1
argadafi	AW1 R K AW1 T AW1 F IY1
argadaha	AW1 R K AW1 T AW1 HH AW1
argadahabi	AW1 R K AW1 T AW1 HH AW1 P IY1
argadahangge	AW1 R K AW1 T AW1 HH AW1 NG NG AH1
argadai	AW1 R K AW1 T AW1 JH
argadaki	AW1 R K AW1 T AW1 K IY1
argadama	AW1 R K AW1 T AW1 M AW1
argadambi	AW1 R K AW1 T AW1 M P IY1
argadambihe	AW1 R K AW1 T AW1 M P IY1 HH AH1
argadame	AW1 R K AW1 T AW1 M AH1
argadanume	AW1 R K AW1 T AW1 N UW1 M AH1
argadaqi	AW1 R K AW1 T AW1 K IY1
argadara	AW1 R K AW1 T AW1 R AW1
argadarakv	AW1 R K AW1 T AW1 R AW1 K AO1
argadarangge	AW1 R K AW1 T AW1 R AW1 NG NG AH1
argadari	AW1 R K AW1 T AW1 R IY1
argai	AW1 R K AW1 JH
argakaha	AW1 R K AW1 K AW1 HH AW1
argali	AW1 R K AW1 L IY1
argambi	AW1 R K AW1 M P IY1
argan	AW1 R K AW1 N
arganaha	AW1 R K AW1 N AW1 HH AW1
arganambi	AW1 R K AW1 N AW1 M P IY1
arganame	AW1 R K AW1 N AW1 M AH1
arganara	AW1 R K AW1 N AW1 R AW1
arganbi	AW1 R K AW1 N P IY1
argandame	AW1 R K AW1 N T AW1 M AH1
argandara	AW1 R K AW1 N T AW1 R AW1
argangga	AW1 R K AW1 NG N AW1
argaqan	AW1 R K AW1 CH AW1 N
argara	AW1 R K AW1 R AW1
argat	AW1 R K AW1 T
argatu	AW1 R K AW1 T UW1
argebume	AW1 R K AH1 P UW1 M AH1
argen	AW1 R K AH1 N
argi	AW1 R K IY1
argina	AW1 R K IY1 N AW1
argiya	AW1 R K JH AW1
argiyabumbi	AW1 R K JH AW1 P UW1 M P IY1
argiyabume	AW1 R K JH AW1 P UW1 M AH1
argiyabuqi	AW1 R K JH AW1 P UW1 K IY1
argiyaha	AW1 R K JH AW1 HH AW1
argiyambi	AW1 R K JH AW1 M P IY1
argiyame	AW1 R K JH AW1 M AH1
argiyaqa	AW1 R K JH AW1 CH AW1
argiyara	AW1 R K JH AW1 R AW1
argn	AW1 R K N
argun	AW1 R K UW1 N
argvma	AW1 R K AO1 M AW1
arha	AW1 R HH AW1
arhabi	AW1 R HH AW1 P IY1
arhabuha	AW1 R HH AW1 P UW1 HH AW1
arhadambi	AW1 R HH AW1 T AW1 M P IY1
arhan	AW1 R HH AW1 N
arhangge	AW1 R HH AW1 NG NG AH1
arhanmuheren	AW1 R HH AW1 N M UW1 HH AH1 R AH1 N
arhat	AW1 R HH AW1 T
arhiyara	AW1 R HH JH AW1 R AW1
arhuxara	AW1 R HH UW1 SH AW1 R AW1
arhvn	AW1 R HH AO1 N
arhvxame	AW1 R HH AO1 SH AW1 M AH1
arhvxme	AW1 R HH AO1 SH M AH1
ari	AW1 R IY1
arifi	AW1 R IY1 F IY1
arihv	AW1 R IY1 HH AO1
arime	AW1 R IY1 M AH1
arin	AW1 R IY1 N
arire	AW1 R IY1 R AH1
ariya	AW1 R JH AW1
arjan	AW1 R JH AW1 N
arji	AW1 R JH IY1
arjin	AW1 R JH IY1 N
arka	AW1 R K AW1
arkan	AW1 R K AW1 N
arke	AW1 R K AH1
arki	AW1 R K IY1
arkini	AW1 R K IY1 N IY1
arkta	AW1 R K T AW1
arluna	AW1 R L UW1 N AW1
arme	AW1 R M AH1
armen	AW1 R M AH1 N
arn	AW1 R N
arqa	AW1 R CH AW1
arqambi	AW1 R CH AW1 M P IY1
arqame	AW1 R CH AW1 M AH1
arqan	AW1 R CH AW1 N
arqara	AW1 R CH AW1 R AW1
arqilan	AW1 R K IY1 L AW1 N
arsahv	AW1 R S AW1 HH AO1
arsai	AW1 R S AW1 JH
arsala	AW1 R S AW1 L AW1
arsalan	AW1 R S AW1 L AW1 N
arsalangga	AW1 R S AW1 L AW1 NG N AW1
arsalangge	AW1 R S AW1 L AW1 NG NG AH1
arsari	AW1 R S AW1 R IY1
arsubuha	AW1 R S UW1 P UW1 HH AW1
arsubuhangge	AW1 R S UW1 P UW1 HH AW1 NG NG AH1
arsufi	AW1 R S UW1 F IY1
arsuha	AW1 R S UW1 HH AW1
arsuhangge	AW1 R S UW1 HH AW1 NG NG AH1
arsuka	AW1 R S UW1 K AW1
arsukabi	AW1 R S UW1 K AW1 P IY1
arsumbi	AW1 R S UW1 M P IY1
arsume	AW1 R S UW1 M AH1
arsun	AW1 R S UW1 N
arsuname	AW1 R S UW1 N AW1 M AH1
arsure	AW1 R S UW1 R AH1
artabuha	AW1 R T AW1 P UW1 HH AW1
artabumbi	AW1 R T AW1 P UW1 M P IY1
artu	AW1 R T UW1
aru	AW1 R UW1
aruburakv	AW1 R UW1 P UW1 R AW1 K AO1
aruk	AW1 R UW1 K
arun	AW1 R UW1 N
arxalan	AW1 R SH AW1 L AW1 N
arxan	AW1 R SH AW1 N
arxanyasha	AW1 R SH AW1 N JH AW1 S HH AW1
arxeme	AW1 R SH AH1 M AH1
arxu	AW1 R SH UW1
asa	AW1 S AW1
asabufi	AW1 S AW1 P UW1 F IY1
asaga	AW1 S AW1 K AW1
asaha	AW1 S AW1 HH AW1
asahafi	AW1 S AW1 HH AW1 F IY1
asahaha	AW1 S AW1 HH AW1 HH AW1
asahahai	AW1 S AW1 HH AW1 HH AW1 JH
asahambi	AW1 S AW1 HH AW1 M P IY1
asahangga	AW1 S AW1 HH AW1 NG N AW1
asahara	AW1 S AW1 HH AW1 R AW1
asaka	AW1 S AW1 K AW1
asame	AW1 S AW1 M AH1
asamjambi	AW1 S AW1 M JH AW1 M P IY1
asan	AW1 S AW1 N
asara	AW1 S AW1 R AW1
asarabu	AW1 S AW1 R AW1 P UW1
asarabufi	AW1 S AW1 R AW1 P UW1 F IY1
asarabuha	AW1 S AW1 R AW1 P UW1 HH AW1
asarabumbi	AW1 S AW1 R AW1 P UW1 M P IY1
asarabure	AW1 S AW1 R AW1 P UW1 R AH1
asaraburengge	AW1 S AW1 R AW1 P UW1 R AH1 NG NG AH1
asarafi	AW1 S AW1 R AW1 F IY1
asaraha	AW1 S AW1 R AW1 HH AW1
asarahabi	AW1 S AW1 R AW1 HH AW1 P IY1
asarahan	AW1 S AW1 R AW1 HH AW1 N
asarahangge	AW1 S AW1 R AW1 HH AW1 NG NG AH1
asaraki	AW1 S AW1 R AW1 K IY1
asarakini	AW1 S AW1 R AW1 K IY1 N IY1
asarambi	AW1 S AW1 R AW1 M P IY1
asarambiu	AW1 S AW1 R AW1 M P IY1 W
asarame	AW1 S AW1 R AW1 M AH1
asaran	AW1 S AW1 R AW1 N
asaraqi	AW1 S AW1 R AW1 K IY1
asaraqibe	AW1 S AW1 R AW1 K IY1 P AH1
asaraqina	AW1 S AW1 R AW1 K IY1 N AW1
asarara	AW1 S AW1 R AW1 R AW1
asararakv	AW1 S AW1 R AW1 R AW1 K AO1
asararangge	AW1 S AW1 R AW1 R AW1 NG NG AH1
asaratangge	AW1 S AW1 R AW1 T AW1 NG NG AH1
asarha	AW1 S AW1 R HH AW1
asarhan	AW1 S AW1 R HH AW1 N
asarhangge	AW1 S AW1 R HH AW1 NG NG AH1
asari	AW1 S AW1 R IY1
asayara	AW1 S AW1 JH AW1 R AW1
asbuxara	AW1 S P UW1 SH AW1 R AW1
aseuki	AW1 S AH1 W K IY1
asga	AW1 S K AW1
asgan	AW1 S K AW1 N
asha	AW1 S HH AW1
ashabufi	AW1 S HH AW1 P UW1 F IY1
ashabuha	AW1 S HH AW1 P UW1 HH AW1
ashabuhabihebi	AW1 S HH AW1 P UW1 HH AW1 P IY1 HH AH1 P IY1
ashabukv	AW1 S HH AW1 P UW1 K AO1
ashabumbi	AW1 S HH AW1 P UW1 M P IY1
ashafi	AW1 S HH AW1 F IY1
ashaha	AW1 S HH AW1 HH AW1
ashahabi	AW1 S HH AW1 HH AW1 P IY1
ashahai	AW1 S HH AW1 HH AW1 JH
ashahakvbi	AW1 S HH AW1 HH AW1 K AO1 P IY1
ashahangge	AW1 S HH AW1 HH AW1 NG NG AH1
ashai	AW1 S HH AW1 JH
ashaka	AW1 S HH AW1 K AW1
ashaki	AW1 S HH AW1 K IY1
ashala	AW1 S HH AW1 L AW1
ashalafi	AW1 S HH AW1 L AW1 F IY1
ashalahabi	AW1 S HH AW1 L AW1 HH AW1 P IY1
ashalaki	AW1 S HH AW1 L AW1 K IY1
ashalara	AW1 S HH AW1 L AW1 R AW1
ashalarakv	AW1 S HH AW1 L AW1 R AW1 K AO1
ashambi	AW1 S HH AW1 M P IY1
ashambihe	AW1 S HH AW1 M P IY1 HH AH1
ashambiu	AW1 S HH AW1 M P IY1 W
ashame	AW1 S HH AW1 M AH1
ashan	AW1 S HH AW1 N
ashaname	AW1 S HH AW1 N AW1 M AH1
ashangga	AW1 S HH AW1 NG N AW1
ashani	AW1 S HH AW1 N IY1
ashaqi	AW1 S HH AW1 K IY1
ashara	AW1 S HH AW1 R AW1
asharakv	AW1 S HH AW1 R AW1 K AO1
asharakvngge	AW1 S HH AW1 R AW1 K AO1 NG NG AH1
asharangge	AW1 S HH AW1 R AW1 NG NG AH1
ashargan	AW1 S HH AW1 R K AW1 N
ashen	AW1 S HH AH1 N
ashun	AW1 S HH UW1 N
ashv	AW1 S HH AO1
ashvbufi	AW1 S HH AO1 P UW1 F IY1
ashvbuhangge	AW1 S HH AO1 P UW1 HH AW1 NG NG AH1
ashvbumbi	AW1 S HH AO1 P UW1 M P IY1
ashvbuqi	AW1 S HH AO1 P UW1 K IY1
ashvfi	AW1 S HH AO1 F IY1
ashvha	AW1 S HH AO1 HH AW1
ashvkini	AW1 S HH AO1 K IY1 N IY1
ashvlara	AW1 S HH AO1 L AW1 R AW1
ashvlarakv	AW1 S HH AO1 L AW1 R AW1 K AO1
ashvmbi	AW1 S HH AO1 M P IY1
ashvme	AW1 S HH AO1 M AH1
ashvn	AW1 S HH AO1 N
ashvnmbi	AW1 S HH AO1 N M P IY1
ashvqi	AW1 S HH AO1 K IY1
ashvra	AW1 S HH AO1 R AW1
ashvrakv	AW1 S HH AO1 R AW1 K AO1
ashvre	AW1 S HH AO1 R AH1
ashvrengge	AW1 S HH AO1 R AH1 NG NG AH1
asi	AW1 S IY1
asibuki	AW1 S IY1 P UW1 K IY1
asidarhan	AW1 S IY1 T AW1 R HH AW1 N
asigan	AW1 S IY1 K AW1 N
asigv	AW1 S IY1 K AO1
asiha	AW1 S IY1 HH AW1
asihaki	AW1 S IY1 HH AW1 K IY1
asihan	AW1 S IY1 HH AW1 N
asihasa	AW1 S IY1 HH AW1 S AW1
asihase	AW1 S IY1 HH AW1 S AH1
asihata	AW1 S IY1 HH AW1 T AW1
asihawa	AW1 S IY1 HH AW1 W AW1
asihe	AW1 S IY1 HH AH1
asihiya	AW1 S IY1 HH JH AW1
asihiyabumbi	AW1 S IY1 HH JH AW1 P UW1 M P IY1
asihiyafi	AW1 S IY1 HH JH AW1 F IY1
asihiyaha	AW1 S IY1 HH JH AW1 HH AW1
asihiyambi	AW1 S IY1 HH JH AW1 M P IY1
asihiyame	AW1 S IY1 HH JH AW1 M AH1
asihiyara	AW1 S IY1 HH JH AW1 R AW1
asihiyeme	AW1 S IY1 HH JH AE1 M AH1
asihvme	AW1 S IY1 HH AO1 M AH1
asihvn	AW1 S IY1 HH AO1 N
asika	AW1 S IY1 K AW1
asikaliyan	AW1 S IY1 K AW1 L JH AW1 N
asikan	AW1 S IY1 K AW1 N
asikasi	AW1 S IY1 K AW1 S IY1
asilabumbi	AW1 S IY1 L AW1 P UW1 M P IY1
asinambi	AW1 S IY1 N AW1 M P IY1
asinaqi	AW1 S IY1 N AW1 K IY1
asinha	AW1 S IY1 N HH AW1
asinhon	AW1 S IY1 N HH OW1 N
asinjiha	AW1 S IY1 N JH IY1 HH AW1
asisin	AW1 S IY1 S IY1 N
asitala	AW1 S IY1 T AW1 L AW1
asitu	AW1 S IY1 T UW1
asiyai	AW1 S JH AW1 JH
askai	AW1 S K AW1 JH
asot	AW1 S OW1 T
assarakv	AW1 S S AW1 R AW1 K AO1
asu	AW1 S UW1
asuki	AW1 S UW1 K IY1
asukilabumbi	AW1 S UW1 K IY1 L AW1 P UW1 M P IY1
asukilabume	AW1 S UW1 K IY1 L AW1 P UW1 M AH1
asukilabure	AW1 S UW1 K IY1 L AW1 P UW1 R AH1
asukilambi	AW1 S UW1 K IY1 L AW1 M P IY1
asukilame	AW1 S UW1 K IY1 L AW1 M AH1
asukilara	AW1 S UW1 K IY1 L AW1 R AW1
asukingga	AW1 S UW1 K IY1 NG N AW1
asukiyambi	AW1 S UW1 K JH AW1 M P IY1
asukiyame	AW1 S UW1 K JH AW1 M AH1
asukiyeme	AW1 S UW1 K JH AE1 M AH1
asume	AW1 S UW1 M AH1
asumi	AW1 S UW1 M IY1
asuqi	AW1 S UW1 K IY1
asuru	AW1 S UW1 R UW1
asuruf	AW1 S UW1 R UW1 F
asurxambi	AW1 S UW1 R SH AW1 M P IY1
asut	AW1 S UW1 T
atafi	AW1 T AW1 F IY1
ataga	AW1 T AW1 K AW1
ataha	AW1 T AW1 HH AW1
atai	AW1 T AW1 JH
ataka	AW1 T AW1 K AW1
atala	AW1 T AW1 L AW1
atan	AW1 T AW1 N
atanggi	AW1 T AW1 NG NG IY1
ataraha	AW1 T AW1 R AW1 HH AW1
atarambi	AW1 T AW1 R AW1 M P IY1
atarame	AW1 T AW1 R AW1 M AH1
atarara	AW1 T AW1 R AW1 R AW1
atehe	AW1 T AH1 HH AH1
ateheme	AW1 T AH1 HH AH1 M AH1
atehemen	AW1 T AH1 HH AH1 M AH1 N
ateke	AW1 T AH1 K AH1
atenggi	AW1 T AH1 NG NG IY1
atmula	AW1 T M UW1 L AW1
atntaha	AW1 T N T AW1 HH AW1
atougai	AW1 T OW1 W K AW1 JH
atu	AW1 T UW1
atuha	AW1 T UW1 HH AW1
atuhvn	AW1 T UW1 HH AO1 N
au	AW1 W
auha	AW1 W HH AW1
auhan	AW1 W HH AW1 N
auhv	AW1 W HH AO1
auhvn	AW1 W HH AO1 N
aui	AW1 W JH
auk	AW1 W K
aukto	AW1 W K T OW1
aukv	AW1 W K AO1
aulige	AW1 W L IY1 K AH1
aumoka	AW1 W M OW1 K AW1
aunaukv	AW1 W N AW1 W K AO1
aura	AW1 W R AW1
ausu	AW1 W S UW1
auxuha	AW1 W SH UW1 HH AW1
auxume	AW1 W SH UW1 M AH1
auxuqi	AW1 W SH UW1 K IY1
awahade	AW1 W AW1 HH AW1 T AH1
awame	AW1 W AW1 M AH1
awan	AW1 W AW1 N
awara	AW1 W AW1 R AW1
awarakv	AW1 W AW1 R AW1 K AO1
axa	AW1 SH AW1
axarame	AW1 SH AW1 R AW1 M AH1
axata	AW1 SH AW1 T AW1
axaxafi	AW1 SH AW1 SH AW1 F IY1
axaxaha	AW1 SH AW1 SH AW1 HH AW1
axaxambi	AW1 SH AW1 SH AW1 M P IY1
axaxan	AW1 SH AW1 SH AW1 N
axaxaqi	AW1 SH AW1 SH AW1 K IY1
axaxarakv	AW1 SH AW1 SH AW1 R AW1 K AO1
axaxarakvngge	AW1 SH AW1 SH AW1 R AW1 K AO1 NG NG AH1
axe	AW1 SH AH1
axn	AW1 SH N
axu	AW1 SH UW1
axufi	AW1 SH UW1 F IY1
axuhangge	AW1 SH UW1 HH AW1 NG NG AH1
axuka	AW1 SH UW1 K AW1
axuki	AW1 SH UW1 K IY1
axumbi	AW1 SH UW1 M P IY1
axumbu	AW1 SH UW1 M P UW1
axumbufi	AW1 SH UW1 M P UW1 F IY1
axumbuha	AW1 SH UW1 M P UW1 HH AW1
axumbuhangge	AW1 SH UW1 M P UW1 HH AW1 NG NG AH1
axumbumbi	AW1 SH UW1 M P UW1 M P IY1
axumbume	AW1 SH UW1 M P UW1 M AH1
axumburakv	AW1 SH UW1 M P UW1 R AW1 K AO1
axumbure	AW1 SH UW1 M P UW1 R AH1
axumburengge	AW1 SH UW1 M P UW1 R AH1 NG NG AH1
axume	AW1 SH UW1 M AH1
axure	AW1 SH UW1 R AH1
axxa	AW1 SH SH AW1
axxabufi	AW1 SH SH AW1 P UW1 F IY1
axxabuha	AW1 SH SH AW1 P UW1 HH AW1
axxabuhakv	AW1 SH SH AW1 P UW1 HH AW1 K AO1
axxabumbi	AW1 SH SH AW1 P UW1 M P IY1
axxabumbime	AW1 SH SH AW1 P UW1 M P IY1 M AH1
axxabume	AW1 SH SH AW1 P UW1 M AH1
axxabuqi	AW1 SH SH AW1 P UW1 K IY1
axxaburakv	AW1 SH SH AW1 P UW1 R AW1 K AO1
axxabure	AW1 SH SH AW1 P UW1 R AH1
axxafi	AW1 SH SH AW1 F IY1
axxaha	AW1 SH SH AW1 HH AW1
axxahabi	AW1 SH SH AW1 HH AW1 P IY1
axxahadari	AW1 SH SH AW1 HH AW1 T AW1 R IY1
axxahade	AW1 SH SH AW1 HH AW1 T AH1
axxahai	AW1 SH SH AW1 HH AW1 JH
axxahakv	AW1 SH SH AW1 HH AW1 K AO1
axxahakvbi	AW1 SH SH AW1 HH AW1 K AO1 P IY1
axxahangge	AW1 SH SH AW1 HH AW1 NG NG AH1
axxaki	AW1 SH SH AW1 K IY1
axxalaha	AW1 SH SH AW1 L AW1 HH AW1
axxamaxxaha	AW1 SH SH AW1 M AW1 SH SH AW1 HH AW1
axxambi	AW1 SH SH AW1 M P IY1
axxambihe	AW1 SH SH AW1 M P IY1 HH AH1
axxambihede	AW1 SH SH AW1 M P IY1 HH AH1 T AH1
axxambime	AW1 SH SH AW1 M P IY1 M AH1
axxame	AW1 SH SH AW1 M AH1
axxan	AW1 SH SH AW1 N
axxandumbi	AW1 SH SH AW1 N T UW1 M P IY1
axxangge	AW1 SH SH AW1 NG NG AH1
axxaqi	AW1 SH SH AW1 K IY1
axxara	AW1 SH SH AW1 R AW1
axxarahv	AW1 SH SH AW1 R AW1 HH AO1
axxarakv	AW1 SH SH AW1 R AW1 K AO1
axxarakvngge	AW1 SH SH AW1 R AW1 K AO1 NG NG AH1
axxarakvqi	AW1 SH SH AW1 R AW1 K AO1 K IY1
axxarangge	AW1 SH SH AW1 R AW1 NG NG AH1
axxararakv	AW1 SH SH AW1 R AW1 R AW1 K AO1
axxare	AW1 SH SH AW1 R AH1
axxarn	AW1 SH SH AW1 R N
axxme	AW1 SH SH M AH1
axxra	AW1 SH SH R AW1
aya	AW1 JH AW1
ayabai	AW1 JH AW1 P AW1 JH
ayaha	AW1 JH AW1 HH AW1
ayakta	AW1 JH AW1 K T AW1
ayalafi	AW1 JH AW1 L AW1 F IY1
ayalaha	AW1 JH AW1 L AW1 HH AW1
ayalahabi	AW1 JH AW1 L AW1 HH AW1 P IY1
ayalahangge	AW1 JH AW1 L AW1 HH AW1 NG NG AH1
ayalambi	AW1 JH AW1 L AW1 M P IY1
ayalaraku	AW1 JH AW1 L AW1 R AW1 K UW1
ayalarangge	AW1 JH AW1 L AW1 R AW1 NG NG AH1
ayambi	AW1 JH AW1 M P IY1
ayan	AW1 JH AW1 N
ayandumbi	AW1 JH AW1 N T UW1 M P IY1
ayantumbi	AW1 JH AW1 N T UW1 M P IY1
ayara	AW1 JH AW1 R AW1
ayari	AW1 JH AW1 R IY1
ayatu	AW1 JH AW1 T UW1
ayau	AW1 JH AW1 W
ayei	AW1 JH AE1 JH
ayen	AW1 JH AE1 N
ayou	AW1 JH OW1 W
ayuki	AW1 JH UW1 K IY1
ayusi	AW1 JH UW1 S IY1
b	P
ba	P AW1
baba	P AW1 P AW1
babadarhan	P AW1 P AW1 T AW1 R HH AW1 N
babade	P AW1 P AW1 T AH1
babafi	P AW1 P AW1 F IY1
babai	P AW1 P AW1 JH
baban	P AW1 P AW1 N
babanara	P AW1 P AW1 N AW1 R AW1
babaqi	P AW1 P AW1 K IY1
babau	P AW1 P AW1 W
babe	P AW1 P AH1
babei	P AW1 P AH1 JH
babi	P AW1 P IY1
babiu	P AW1 P IY1 W
babou	P AW1 P OW1 W
babu	P AW1 P UW1
babufi	P AW1 P UW1 F IY1
babuha	P AW1 P UW1 HH AW1
babuhai	P AW1 P UW1 HH AW1 JH
babuhan	P AW1 P UW1 HH AW1 N
babuhv	P AW1 P UW1 HH AO1
babulai	P AW1 P UW1 L AW1 JH
babun	P AW1 P UW1 N
babung	P AW1 P UW1 NG
babungga	P AW1 P UW1 NG N AW1
babuntai	P AW1 P UW1 N T AW1 JH
babusai	P AW1 P UW1 S AW1 JH
babutai	P AW1 P UW1 T AW1 JH
bada	P AW1 T AW1
badahv	P AW1 T AW1 HH AO1
badai	P AW1 T AW1 JH
badak	P AW1 T AW1 K
badaktu	P AW1 T AW1 K T UW1
badakxan	P AW1 T AW1 K SH AW1 N
badalambi	P AW1 T AW1 L AW1 M P IY1
badalarakv	P AW1 T AW1 L AW1 R AW1 K AO1
badana	P AW1 T AW1 N AW1
badangga	P AW1 T AW1 NG N AW1
badanghai	P AW1 T AW1 NG HH AW1 JH
badar	P AW1 T AW1 R
badarabu	P AW1 T AW1 R AW1 P UW1
badarabumbi	P AW1 T AW1 R AW1 P UW1 M P IY1
badarafi	P AW1 T AW1 R AW1 F IY1
badarahv	P AW1 T AW1 R AW1 HH AO1
badaraka	P AW1 T AW1 R AW1 K AW1
badarakabi	P AW1 T AW1 R AW1 K AW1 P IY1
badarakangge	P AW1 T AW1 R AW1 K AW1 NG NG AH1
badarakini	P AW1 T AW1 R AW1 K IY1 N IY1
badarakv	P AW1 T AW1 R AW1 K AO1
badarakvngge	P AW1 T AW1 R AW1 K AO1 NG NG AH1
badarambeme	P AW1 T AW1 R AW1 M P AH1 M AH1
badarambi	P AW1 T AW1 R AW1 M P IY1
badarambufi	P AW1 T AW1 R AW1 M P UW1 F IY1
badarambuha	P AW1 T AW1 R AW1 M P UW1 HH AW1
badarambuhangge	P AW1 T AW1 R AW1 M P UW1 HH AW1 NG NG AH1
badarambumbi	P AW1 T AW1 R AW1 M P UW1 M P IY1
badarambume	P AW1 T AW1 R AW1 M P UW1 M AH1
badarambungga	P AW1 T AW1 R AW1 M P UW1 NG N AW1
badarambuqi	P AW1 T AW1 R AW1 M P UW1 K IY1
badaramburakv	P AW1 T AW1 R AW1 M P UW1 R AW1 K AO1
badarambure	P AW1 T AW1 R AW1 M P UW1 R AH1
badaramburengge	P AW1 T AW1 R AW1 M P UW1 R AH1 NG NG AH1
badarame	P AW1 T AW1 R AW1 M AH1
badaramebufi	P AW1 T AW1 R AW1 M AH1 P UW1 F IY1
badaran	P AW1 T AW1 R AW1 N
badarangga	P AW1 T AW1 R AW1 NG N AW1
badaraqi	P AW1 T AW1 R AW1 K IY1
badarara	P AW1 T AW1 R AW1 R AW1
badararahv	P AW1 T AW1 R AW1 R AW1 HH AO1
badararakv	P AW1 T AW1 R AW1 R AW1 K AO1
badari	P AW1 T AW1 R IY1
badarmbuha	P AW1 T AW1 R M P UW1 HH AW1
badarmbume	P AW1 T AW1 R M P UW1 M AH1
badarmbure	P AW1 T AW1 R M P UW1 R AH1
badaxakv	P AW1 T AW1 SH AW1 K AO1
badazi	P AW1 T AW1 D IY1
bade	P AW1 T AH1
baderarahv	P AW1 T AH1 R AW1 R AW1 HH AO1
badere	P AW1 T AH1 R AH1
baderebu	P AW1 T AH1 R AH1 P UW1
baderebufi	P AW1 T AH1 R AH1 P UW1 F IY1
baderefi	P AW1 T AH1 R AH1 F IY1
baderehe	P AW1 T AH1 R AH1 HH AH1
baderehebi	P AW1 T AH1 R AH1 HH AH1 P IY1
badereki	P AW1 T AH1 R AH1 K IY1
badererakv	P AW1 T AH1 R AH1 R AW1 K AO1
baderere	P AW1 T AH1 R AH1 R AH1
badiri	P AW1 T IY1 R IY1
baduhv	P AW1 T UW1 HH AO1
baduli	P AW1 T UW1 L IY1
badun	P AW1 T UW1 N
baduri	P AW1 T UW1 R IY1
bafi	P AW1 F IY1
bagadar	P AW1 K AW1 T AW1 R
bagadarhan	P AW1 K AW1 T AW1 R HH AW1 N
bagafi	P AW1 K AW1 F IY1
bagan	P AW1 K AW1 N
