tailo_syllable,jyutping,count,flag
bán,ban2,1,
Tiám,dim2,1,
ok,ok1,1,
luī,leoi1,1,
siù,siu3,1,
khīng,king1,1,
thi,ti1,1,
Tshuà,caa3,1,
Chhòa,chhoa3,1,UNKNOWN_RHYME
chhù,chhu3,1,
tsím,zim2,1,
thī,ti1,1,
phànn,pann3,1,UNKNOWN_RHYME
Khin,kin1,1,
sang,sang1,1,
Tsò,zo3,1,
lū,lu1,1,
tshi̍h,ci̍h1,1,UNKNOWN_RHYME
lueh,lot1,1,
heng,hang1,1,
Oo,oo1,1,UNKNOWN_RHYME
sio̍k,sio̍k1,1,UNKNOWN_RHYME
thok,tok1,1,
Put,but1,1,
ap,ap1,1,
只會當靠這來趁食過日,只會當靠這來趁食過日1,1,UNKNOWN_RHYME
khàm,kam3,1,
tún,dun2,1,
la̍p,la̍p1,1,UNKNOWN_RHYME
ī,i1,1,
Hô,ho4,1,
Tsîn,zin4,1,
Ing,ing1,1,
Bāng,bang1,1,
thui,teoi1,1,
tsínn,zinn2,1,UNKNOWN_RHYME
liâm,lim4,1,
lâ,laa4,1,
nih,nit1,1,
hiáng,hoeng2,1,
tshang,cang1,1,
ha̍t,ha̍t1,1,UNKNOWN_RHYME
phóo,poo2,1,UNKNOWN_RHYME
Tshut,cut1,1,
ti̍k,di̍k1,1,UNKNOWN_RHYME
kheⁿ,ken1,1,
be̍h,be̍h1,1,UNKNOWN_RHYME
khóo,koo2,1,UNKNOWN_RHYME
guā,gaa1,1,
tshat,cat1,1,
Ping,bing1,1,
iân,in4,1,
khótsīn,kotsin2,1,UNKNOWN_RHYME
phō,po1,1,
tsha̍t,ca̍t1,1,UNKNOWN_RHYME
tsiann,ziann1,1,UNKNOWN_RHYME
hioh,hioh1,1,UNKNOWN_RHYME
Si̍k,si̍k1,1,UNKNOWN_RHYME
phing,ping1,1,
ǹg,ng3,1,UNKNOWN_RHYME
tsōng,zong1,1,
pháu,paau2,1,
Thih,tit1,1,
ô͘,o͘4,1,UNKNOWN_RHYME
piànn,biann3,1,UNKNOWN_RHYME
than,tan1,1,
Tsha̍k,ca̍k1,1,UNKNOWN_RHYME
kê,ge4,1,
Thng,tng1,1,
poh,bot1,1,
Pó,bo2,1,
Pōng,bong1,1,
hi̍k,hi̍k1,1,UNKNOWN_RHYME
Hua,haa1,1,
Chheng,chhang1,1,
Ba̍k,ba̍k1,1,UNKNOWN_RHYME
thêng,tang4,1,
ik,ik1,1,
tân,dan4,1,
Bōo,boo1,1,UNKNOWN_RHYME
ōo,oo1,1,UNKNOWN_RHYME
phùn,pun3,1,
nuā,naa1,1,
muá,maa2,1,
ti̍t,di̍t1,1,UNKNOWN_RHYME
iá,e2,1,
khau,kaau1,1,
Tân,dan4,1,
Lia̍h,lia̍h1,1,UNKNOWN_RHYME
mt,mt1,1,UNKNOWN_RHYME
pâng,bang4,1,
tia̍p,dia̍p1,1,UNKNOWN_RHYME
siû,siu4,1,
hér,her2,1,UNKNOWN_RHYME
ttuā,dtua1,1,UNKNOWN_RHYME
tîm,dim4,1,
tsúi,zeoi2,1,
lām,lam1,1,
pòo,boo3,1,UNKNOWN_RHYME
ha,haa1,1,
Tu̍t,du̍t1,1,UNKNOWN_RHYME
bián,bin2,1,
biō,boe1,1,
Soh,sot1,1,
Hong,hong1,1,
oán,oan2,1,UNKNOWN_RHYME
tuì,deoi3,1,
tùi,deoi3,1,
Ke,ge1,1,
kiò,goe3,1,
Poo,boo1,1,UNKNOWN_RHYME
Po͘,bo͘1,1,UNKNOWN_RHYME
chām,cham1,1,
jiú,jiu2,1,
līn,lin1,1,
kap,gap1,1,
nóo,noo2,1,UNKNOWN_RHYME
siâ,se4,1,
thun,tun1,1,
Soo,soo1,1,UNKNOWN_RHYME
Siong,sung1,1,
Ut,ut1,1,
kńg,gng2,1,
huâinn,huainn4,1,UNKNOWN_RHYME
tshiat,cit1,1,
puî,beoi4,1,
Tíng,ding2,1,
Téng,dang2,1,
sioh,sioh1,1,UNKNOWN_RHYME
Tsiah,ziah1,1,UNKNOWN_RHYME
pìnn,binn3,1,UNKNOWN_RHYME
tsoh,zot1,1,
chhut,chhut1,1,
só͘,so͘2,1,UNKNOWN_RHYME
Tsiu,ziu1,1,
Pek,bak1,1,
Au,aau1,1,
luā,laa1,1,
me̍h,me̍h1,1,UNKNOWN_RHYME
siân,sin4,1,
ham,ham1,1,
Huê,ho4,1,
Hê,he4,1,
tshiâ,ce4,1,
lui,leoi1,1,
Tông,dong4,1,
chêng,chang4,1,
puē,bo1,1,
suān,sun1,1,
suan,sun1,1,
phāng,pang1,1,
huî,heoi4,1,
tsô,zo4,1,
Pí,bi2,1,
Chiok,chuk1,1,
Bí,bi2,1,
khîm,kim4,1,
o,o1,1,
Tsiang,zoeng1,1,
Tsiong,zung1,1,
thē,te1,1,
óng,ong2,1,
Hái,haai2,1,
êng,ang4,1,
buán,bun2,1,
thuah,tuah1,1,UNKNOWN_RHYME
tū,du1,1,
Lé,le2,1,
Thôo,too4,1,UNKNOWN_RHYME
thô,to4,1,
Sìn,sin3,1,
gī,gi1,1,
khe̍h,ke̍h1,1,UNKNOWN_RHYME
sìnn,sinn3,1,UNKNOWN_RHYME
tsê,ze4,1,
tshio,coe1,1,
jí,ji2,1,
tsui,zeoi1,1,
the̍h,te̍h1,1,UNKNOWN_RHYME
kiunn,giunn1,1,UNKNOWN_RHYME
Suî,seoi4,1,
Lû,lu4,1,
Jû,ju4,1,
pū,bu1,1,
Lîm,lim4,1,
Tsèng,zang3,1,
Io̍k,io̍k1,1,UNKNOWN_RHYME
tîng,ding4,1,
jû,ju4,1,
lû,lu4,1,
Tē,de1,1,
Lú,lu2,1,
Tsóng,zong2,1,
ông,ong4,1,
tsuan,zun1,1,
hiau,hiu1,1,
hīng,hing1,1,
tshuā,caa1,1,
kue̍h,gue̍h1,1,UNKNOWN_RHYME
khiû,kiu4,1,
pueh,bot1,1,
hip,hip1,1,
siòng,sung3,1,
kó͘,go͘2,1,UNKNOWN_RHYME
Bū,bu1,1,
khai,kaai1,1,
Pa,baa1,1,
khan,kan1,1,
Tek,dak1,1,
tn̄g,dng1,1,
jiok,juk1,1,
Too,doo1,1,UNKNOWN_RHYME
jīm,jim1,1,
līm,lim1,1,
àng,ang3,1,
Hit,hit1,1,
Bué,bo2,1,
pinn,binn1,1,UNKNOWN_RHYME
The̍h,te̍h1,1,UNKNOWN_RHYME
lia̍h,lia̍h1,1,UNKNOWN_RHYME
luh,lut1,1,
uán,un2,1,
Înn,inn4,1,UNKNOWN_RHYME
Îⁿ,in4,1,
khoân,koan4,1,UNKNOWN_RHYME
tin,din1,1,
Kuè,go3,1,
tsùn,zun3,1,
kòe,goe3,1,
hòng,hong3,1,
Káng,gang2,1,
tsuat,zut1,1,
phue̍h,pue̍h1,1,UNKNOWN_RHYME
ling,ling1,1,
pîng,bing4,1,
tsham,cam1,1,
ai,aai1,1,
Hâi,haai4,1,
kik,gik1,1,
giú,giu2,1,
你提轉去了後就一項一項共伊讀出來,你提轉去了後就一項一項共伊讀出來1,1,UNKNOWN_RHYME
tōa,doa1,1,UNKNOWN_RHYME
khoe,koe1,1,
kiam,gim1,1,
Sūn,sun1,1,
Tsháu,caau2,1,
Chháu,chhaau2,1,
Si̍p,si̍p1,1,UNKNOWN_RHYME
Uân,un4,1,
Siau,siu1,1,
nn̂g,nng4,1,
chhiū,chhiu1,1,
gú,gu2,1,
tshá,caa2,1,
uann,uann1,1,UNKNOWN_RHYME
tshùn,cun3,1,
su̍t,su̍t1,1,UNKNOWN_RHYME
tìm,dim3,1,
sûinn,suinn4,1,UNKNOWN_RHYME
pûn,bun4,1,
kāng,gang1,1,
áu,aau2,1,
uang,ong1,1,
Se,se1,1,
tán,dan2,1,
sua,saa1,1,
thé,te2,1,
thóng,tong2,1,
Heng,hang1,1,
tūn,dun1,1,
Khàm,kam3,1,
pì,bi3,1,
lang,lang1,1,
Sī,si1,1,
chiu,chiu1,1,
tìnn,dinn3,1,UNKNOWN_RHYME
lōng,long1,1,
tsióng,zung2,1,
Ta,daa1,1,
Hun,hun1,1,
Khong,kong1,1,
un,un1,1,
nńg,nng2,1,
tshng,cng1,1,
hàu,haau3,1,
kuân,gun4,1,
thuīnn,tuinn1,1,UNKNOWN_RHYME
Siōng,sung1,1,
khiâm,kim4,1,
gē,ge1,1,
oân,oan4,1,UNKNOWN_RHYME
Káu,gaau2,1,
tsàu,zaau3,1,
thûn,tun4,1,
tshiunn,ciunn1,1,UNKNOWN_RHYME
tu̍h,du̍h1,1,UNKNOWN_RHYME
lián,lin2,1,
pian,bin1,1,
khián,kin2,1,
tîn,din4,1,
phak,pak1,1,
chng,chng1,1,
Hiang,hoeng1,1,
Gû,gu4,1,
hāng,hang1,1,
tsiù,ziu3,1,
tsuā,zaa1,1,
tshiau,ciu1,1,
Kâu,gaau4,1,
Phek,pak1,1,
Hó͘,ho͘2,1,UNKNOWN_RHYME
kuānn,guann1,1,UNKNOWN_RHYME
tshan,can1,1,
kiap,gip1,1,
līng,ling1,1,
tsái,zaai2,1,
lôe,loe4,1,
tshè,ce3,1,
phuê,po4,1,
tshuè,co3,1,
phê,pe4,1,
lún,lun2,1,
khiu,kiu1,1,
tshìng,cing3,1,
tshuē,co1,1,
phian,pin1,1,
iu,iu1,1,
ut,ut1,1,
kàng,gang3,1,
phué,po2,1,
e̍h,e̍h1,1,UNKNOWN_RHYME
tóo,doo2,1,UNKNOWN_RHYME
Sua,saa1,1,
Soa,soa1,1,UNKNOWN_RHYME
Bē,be1,1,
hiáu,hiu2,1,
se̍h,se̍h1,1,UNKNOWN_RHYME
hua̍t,hua̍t1,1,UNKNOWN_RHYME
phuì,peoi3,1,
àn,an3,1,
tiâu,diu4,1,
uí,eoi2,1,
hia̍p,hia̍p1,1,UNKNOWN_RHYME
Ji̍t,ji̍t1,1,UNKNOWN_RHYME
Tui,deoi1,1,
Gi,gi1,1,
tiōng,dung1,1,
thah,taat1,1,
pâi,baai4,1,
tsuânn,zuann4,1,UNKNOWN_RHYME
lā,laa1,1,
pái,baai2,1,
Be̍h,be̍h1,1,UNKNOWN_RHYME
Khut,kut1,1,
jit,jit1,1,
sènn,senn3,1,UNKNOWN_RHYME
sannh,sannh1,1,UNKNOWN_RHYME
Kah,gaat1,1,
thng,tng1,1,
hoà,hoa3,1,UNKNOWN_RHYME
Tsia,ze1,1,
ak,ak1,1,
Nāi,naai1,1,
thiau,tiu1,1,
lāng,lang1,1,
siunn,siunn1,1,UNKNOWN_RHYME
suàn,sun3,1,
tuínn,duinn2,1,UNKNOWN_RHYME
Khá,kaa2,1,
phik,pik1,1,
khiām,kim1,1,
kuān,gun1,1,
bôo,boo4,1,UNKNOWN_RHYME
hònn,honn3,1,UNKNOWN_RHYME
tiùnng,diunng3,1,UNKNOWN_RHYME
hàn,han3,1,
tsīng,zing1,1,
lù,lu3,1,
hôo,hoo4,1,UNKNOWN_RHYME
Chai,chaai1,1,
Tōo,doo1,1,UNKNOWN_RHYME
tshuan,cun1,1,
nňg,nňg1,1,UNKNOWN_RHYME
nuī,neoi1,1,
mé,me2,1,
tuê,do4,1,
kueh,got1,1,
huînn,huinn4,1,UNKNOWN_RHYME
jūn,jun1,1,
tshuê,co4,1,
ta̍k,da̍k1,1,UNKNOWN_RHYME
huann,huann1,1,UNKNOWN_RHYME
kuī,geoi1,1,
tháu,taau2,1,
Khe,ke1,1,
âu,aau4,1,
Lêng,lang4,1,
tsiong,zung1,1,
kha̍p,ka̍p1,1,UNKNOWN_RHYME
lòng,long3,1,
tshap,cap1,1,
hua̍h,hua̍h1,1,UNKNOWN_RHYME
suà,saa3,1,
pio,boe1,1,
bue̍h,bue̍h1,1,UNKNOWN_RHYME
piān,bin1,1,
kiông,gung4,1,
Hâng,hang4,1,
tsiáng,zoeng2,1,
gi,gi1,1,
tshioh,cioh1,1,UNKNOWN_RHYME
huì,heoi3,1,
sûn,sun4,1,
Muî,meoi4,1,
Kho,ko1,1,
Tshì,ci3,1,
Tsia̍h,zia̍h1,1,UNKNOWN_RHYME
li̍h,li̍h1,1,UNKNOWN_RHYME
sàn,san3,1,
tsuâ,zaa4,1,
Thâm,tam4,1,
sńg,sng2,1,
khi,ki1,1,
pa,baa1,1,
tsè,ze3,1,
tshiánn,ciann2,1,UNKNOWN_RHYME
Khuân,kun4,1,
thoh,tot1,1,
thuh,tut1,1,
Iû,iu4,1,
tshiúnn,ciunn2,1,UNKNOWN_RHYME
tsho,co1,1,
hàng,hang3,1,
Tsiúnn,ziunn2,1,UNKNOWN_RHYME
Keng,gang1,1,
Huâi,haai4,1,
Hoâi,hoai4,1,UNKNOWN_RHYME
M̄,m1,1,UNKNOWN_RHYME
ám,am2,1,
tsah,zaat1,1,
khuài,kaai3,1,
Tsòng,zong3,1,
hia,he1,1,
tsō,zo1,1,
Ha̍k,ha̍k1,1,UNKNOWN_RHYME
tiân,din4,1,
Hoan,hoan1,1,UNKNOWN_RHYME
tînn,dinn4,1,UNKNOWN_RHYME
tsóng,zong2,1,
īn,in1,1,
Khái,kaai2,1,
hián,hin2,1,
khê,ke4,1,
Sik,sik1,1,
kia,ge1,1,
Iâm,im4,1,
thann,tann1,1,UNKNOWN_RHYME
kàinn,gainn3,1,UNKNOWN_RHYME
jiû,jiu4,1,
tài,daai3,1,
sêng,sang4,1,
hn̄g,hng1,1,
thut,tut1,1,
Thìng,ting3,1,
kuánn,guann2,1,UNKNOWN_RHYME
Sim,sim1,1,
tsi̍k,zi̍k1,1,UNKNOWN_RHYME
Lia̍t,lia̍t1,1,UNKNOWN_RHYME
hiànn,hiann3,1,UNKNOWN_RHYME
tiū,diu1,1,
kuàn,gun3,1,
ián,in2,1,
pua̍t,bua̍t1,1,UNKNOWN_RHYME
Gún,gun2,1,
jiàu,jiu3,1,
liàu,liu3,1,
nā,naa1,1,
tù,du3,1,
tsiâu,ziu4,1,
khuìnn,kuinn3,1,UNKNOWN_RHYME
khuàinn,kuainn3,1,UNKNOWN_RHYME
hian,hin1,1,
tshiànn,ciann3,1,UNKNOWN_RHYME
sinn,sinn1,1,UNKNOWN_RHYME
thîn,tin4,1,
nah,naat1,1,
sinnh,sinnh1,1,UNKNOWN_RHYME
